item_id	source_index	current_cn_before_ds	ds_suggested_cn	final_status	official_final_cn	ds_suggestion_matches_official	current_candidate_state	product_target_status	product_match_count	application_allowed	evidence
LOW-MT-00601	295	。	不足。	human-review-pending-not-applied			old-candidate-retained	maintenance-only-count-or-path-drift	5	false	pass20_human_review.xlsx; DS suggestion is visible but remains unapplied until a human decision opens staging
LOW-MT-00620	314	已全部魔法少女的HP回复	已回复全部魔法少女的HP	human-review-pending-not-applied			old-candidate-retained	exact-current-runtime-literal	1	true	pass20_human_review.xlsx; DS suggestion is visible but remains unapplied until a human decision opens staging
LOW-MT-00622	316	不在排位战的可玩期间内,\\x3cbr\\x3e对战结果不会被记录。\\x3cbr\\x3e返回首页。	不在排位战的可玩期间内，\x3cbr\x3e对战结果不会被记录。\x3cbr\x3e返回首页。	human-review-pending-not-applied			old-candidate-retained	exact-current-runtime-literal	1	true	pass20_human_review.xlsx; DS suggestion is visible but remains unapplied until a human decision opens staging
LOW-MT-00627	321	\\x3cbr\\x3e的队伍开始关卡	只用\x3cbr\x3e的队伍开始关卡	official-cn-applied	<br>单人的队伍才能开始副本	false	official-authority-applied-and-verified	authority-resolved-before-final-queue		false	pass20_official_static_review.tsv:LOW-MT-00627; official same-path evidence=js/quest/QuestUtil.js
LOW-MT-00631	325	\\x3cspan class\\x3d'attention'\\x3e压制镜之魔女的全部手臂后即可挑战\\x3c/span\\x3e。	镜之魔女的全部手臂\x3cspan class\x3d'attention'\x3e压制后即可挑战\x3c/span\x3e。	human-review-pending-not-applied			old-candidate-retained	exact-current-runtime-literal	1	true	pass20_human_review.xlsx; DS suggestion is visible but remains unapplied until a human decision opens staging
LOW-MT-00638	332	更新。	将更新为。	human-review-pending-not-applied			old-candidate-retained	exact-current-runtime-literal	1	true	pass20_human_review.xlsx; DS suggestion is visible but remains unapplied until a human decision opens staging
LOW-MT-00666	360	个\\x3c/span\\x3e来\\x3cbr\\x3e回放剧情吗?	消耗{0}个\x3c/span\x3e来\x3cbr\x3e回放剧情吗?	human-review-pending-not-applied			old-candidate-retained	exact-current-runtime-literal	1	true	pass20_human_review.xlsx; DS suggestion is visible but remains unapplied until a human decision opens staging
LOW-MT-00672	366	进行每日1次免费10连普通扭蛋。\\x3cbr\\x3e确定吗?\\x3cdiv id\\x3d'saleSettingBtn' class\\x3d'sb_gold_02 TE se_decide'\\x3e自动设置\\x3c/div\\x3e	进行每日1次免费10连普通扭蛋。\x3cbr\x3e可以吗?\x3cdiv id\x3d'saleSettingBtn' class\x3d'sb_gold_02 TE se_decide'\x3e自动设置\x3c/div\x3e	human-review-pending-not-applied			old-candidate-retained	exact-current-runtime-literal	1	true	pass20_human_review.xlsx; DS suggestion is visible but remains unapplied until a human decision opens staging
LOW-MT-00683	377	通关逐步解放的方框内全部关卡,即可获得特别报酬。	通关逐步解放的方框内全部关卡，即可获得特别报酬。	human-review-pending-not-applied			old-candidate-retained	exact-current-runtime-literal	1	true	pass20_human_review.xlsx; DS suggestion is visible but remains unapplied until a human decision opens staging
LOW-MT-00684	378	确定吗?\\x3c/p\\x3e	确定吗？\\x3c/p\\x3e	human-review-pending-not-applied			old-candidate-retained	exact-current-runtime-literal	1	true	pass20_human_review.xlsx; DS suggestion is visible but remains unapplied until a human decision opens staging
